Company Name (Leave Blank if Using LinkedIn Company Mining),Number of Employees,Company Location,Company Industry
Education at Work,880,"Tempe, Arizona ",Outsourcing/Offshoring
PERSONAL FINANCE EDUCATION SERVICES INC,2,"Ann Arbor, Michigan",Individual & Family Services
MoneyCheck: Personal Finance Education,,"Atlanta, GA ",Financial Services
Personal Finance Employee Education Fund ,3,"Lombard, Illinois ",Financial Services
Ramsey Solutions,"1,321","Franklin, TN ",Financial Services
Finance Student Association ,12,"Toronto , Ontario ",Financial Services
Personal Career Guidance & Development,,"Morrisville, NC ",Professional Training & Coaching
Personal Money Store,2,"Spokane Valley, WA ",Financial Services
Personal Finance Association (PFA),,"London, Ontario",Education Management
Personal Finance for Real People,1,"Kapaa, Hawaii ",Financial Services
Personal Finance Boss,1,"Montreal, Quebec ",Financial Services
Stanford GSB Executive Education,57,"Stanford, California ",Higher Education
Personal Finance Club at OSU,2,"Columbus, OH ",Education Management
Council for Economic Education,126,"New York, NY ",Primary/Secondary Education
Center for Global Development,190,"Washington, D.C. ",Think Tanks
Investopedia,121,"New York, New York ",Online Media
RSF Social Finance,56,"San Francisco, CA ",Financial Services
University of Tampa,"2,478","Tampa, fl ","Tampa, fl"
"Isenberg School of Management, UMass Amherst",449,"Amherst, MA ","Amherst, MA"
Eastern Connecticut State University,"1,068","Willimantic, CT ","Willimantic, CT"
Post University,"1,743","Waterbury, CT ","Waterbury, CT"
North Central College,"1,114","Naperville, IL ","Naperville, IL"
Perennial Resources International,17,"New York, NY ",Staffing & Recruiting
Rutgers Law School,436,"Camden and Newark, NJ ","Camden and Newark, NJ"
Progrexion,"1,151","Salt Lake City, Utah ",Financial Services
SchoolsFirst Federal Credit Union,"1,491","Santa Ana, CA ",Financial Services
Public Affairs Council,80,"Washington, DC ",Public Policy
Tycoono® ,7,"Boston, Massachusetts ",Marketing & Advertising
The Pill Club,297,"San Mateo, CA ",Hospital & Health Care
Service Express,"1,217","Grand Rapids, MI ",Information Technology & Services
"ConsumerTrack, Inc.",163,"El Segundo, CA ",Internet
WalletHub,77,"Washington, DC ",Internet
Freedom Financial Network,"1,441","San Mateo, CA ",Financial Services
Salary Finance,223,London ,Financial Services
Empowered Staffing,12,"Evanston, Illinois ",Staffing & Recruiting
Digit,125,"San Francisco, CA ",Internet
Personal Finance Made Simple,,"Minneapolis, Minnesota ",Financial Services
Ice Miller LLP,791,"Indianapolis, Indiana ",Legal Services
About.com,210,"New York, NY ",Internet
American Institute for Economic Research - AIER,65,"Great Barrington, MA ",Research
Alliant Credit Union,636,"Chicago, IL ",Financial Services
Millsaps College,342,"Jackson, MS ","Jackson, MS"
Mississippi University for Women,375,"Columbus, Mississippi ","Columbus, Mississippi"
Adventures in CRE (A.CRE),8,"Frisco, TX ",Real Estate
United Federal Credit Union,593,"St. Joseph, MI ",Financial Services
UCSC Silicon Valley Extension,277,"Santa Clara, California ","Santa Clara, California"
Young Investors Society,39,"Westlake Village, California ",Education Management
Zogo,60,"Austin, Texas ",Financial Services
Patrick Allen Group,4,"Forestville, CA ",Staffing & Recruiting
University of Alabama at Birmingham - Collat School of Business,88,"Birmingham, Alabama ","Birmingham, Alabama"
"City Girl Savings, LLC.",5,"Austin, Texas ",Financial Services
Oregon State University College of Business,113,"Corvallis, Oregon ","Corvallis, Oregon"
Maryville University Online,67,"St. Louis, Missouri ",Higher Education
Colibri Group,338,"St. Louis, MO ",Professional Training & Coaching
Guidance Residential,211,"Reston, VA ",Financial Services
Wolf Commercial Real Estate (WCRE) | CORFAC International,22,"Marlton, New Jersey ",Commercial Real Estate
"Kay and Associates, Inc.",585,"Buffalo Grove, IL ",Banking
Ed Slott and Company,23,"Rockville Centre, New York ",Accounting
Yale SOM Executive Education,,,Education Management
Davenport & Company LLC,843,"New Haven, CT ","New Haven, CT"
MediaAlpha,344,"Richmond, VA ",Financial Services
American Society for Health Care Risk Management (ASHRM),148,"Los Angeles, CA ",Marketing & Advertising
Omni One,13,"Chicago, IL ",Hospital & Health Care
GreenPath Financial Wellness,110,"Dublin, Ohio ",Staffing & Recruiting
PICPA,348,"Farmington Hills, Michigan ",Financial Services
"Five Rings Financial, LLC",125,"Philadelphia, PA ",Non-profit Organization Management
AFCPE® (Association for Financial Counseling and Planning Education®),409,"Littleton, Colorado ",Financial Services
Bank of China USA,47,"Westerville, OH ",Financial Services
Upskillist,112,"New York, NY ",Banking
Borrowell,307,"Dublin, County Dublin ",E-learning
Success Resources America,138,"Toronto, Ontario ",Financial Services
Kuvera LLC,81,"Carlsbad, California ",Professional Training & Coaching
Plusheadhunters Consulting & Training Cia Ltda Ecuador,544,"Salt Lake City, UT ",E-learning
The Leadership Consortium (TLC),2,"Quito, Pichincha ",Human Resources
University of Puerto Rico-Bayamon,22,"Concord, Massachusetts ",Management Consulting
FinLocker,152,Bayamón ,Bayamón
GVEC,48,"St Louis, Missouri ",Financial Services
Latinos in Finance,190,"Gonzales, Texas ",Utilities
"EMC Publishing, LLC",2,"San Francisco, California ",Higher Education
AVST,59,"St Paul, Minnesota ",Publishing
"LWilliam, Personal Finance Education",78,"Bothell, WA ",Computer Software
Canadian Immigrant,1,"Atlanta, Georgia ",Financial Services
Next Gen HQ,7,"Mississauga, Ontario ",Publishing
Personal Finance Squad,50,"New York, New York ",Education Management
ARGI,,"West Bloomfield, MI ",Education Management
CentSai,238,"Louisville, Kentucky ",Financial Services
"WealthCounsel, LLC",83,"Brooklyn, NY ",E-learning
GoldSilver.com,137,"Salt Lake City, UT ",Legal Services
Phillips Lytle LLP,28,"New York, NY ",Financial Services
"Legacy Education Alliance, Inc. (OTCQB: LEAI)",348,"Buffalo, NY ",Law Practice
Central Michigan University College of Business Administration,53,"Cape Coral, Florida ",Education Management
National Financial Educators Council,17,"Mount Pleasant, Michigan ",Higher Education
Alterna Savings,31,"Las Vegas, Nevada ",Education Management
Canada West Agent Services,485,"Ottawa, ON ",Financial Services
Navicore Solutions,6,"Vancouver, British Columbia ",Staffing & Recruiting
HerMoney,70,"Manalapan, NJ ",Financial Services
Finance Shminance,14,New York ,Online Media
"Blackman & Sloop, CPAs, P.A.",,"Arlington, Texas ",Financial Services
Invest in Girls (A Program of CEE),37,"Chapel Hill, NC ",Accounting
Next Gen Personal Finance,28,"Arlington, MA ",Non-profit Organization Management
Certification Strategy,28,"Palo Alto, CA ",Non-profit Organization Management
University of Maryland - Robert H. Smith School of Business,,,Education Management
CSCMP - Council of Supply Chain Management Professionals,1,"Sheridan, WY ",Education Management
International Desalination Association (IDA),832,"College Park, Maryland ","College Park, Maryland"
Harris County Department of Education,211,"Lombard, IL ",Non-profit Organization Management
Carnegie Mellon University - Tepper School of Business,29,"Danvers, MA ",Non-profit Organization Management
Institute of Finance and Management,738,"Houston, Texas ",Education Management
Certified Management Accountant: CMA®,417,"Pittsburgh, pa ","Pittsburgh, pa"
Demand Driven Institute,25,"Portland, ME ",Accounting
First Finance,45,"Montvale, NJ ",Accounting
Chartered Professional Accountants of Canada (CPA Canada),25,"Globe, AZ ",Think Tanks
AFCPE® (Association for Financial Counseling and Planning Education®),85,"Paris, Paris ",Professional Training & Coaching
The Travel Institute,"1,124",,"59,571+ alumni"
Feliciano School of Business - Montclair State University,20,"Framingham, Massachusetts ",Education Management
PAHCOM - Professional Association of Health Care Office Management,82,"Montclair, NJ ","Montclair, NJ"
Workday Learner Community,18,"Lady Lake, FL ",Medical Practice
Merit Global Training,,,Education Management
GAFM Global Academy of Finance & Management ® - ISO 21001 Certified International Board of Standards,158,"West Des Moines, Iowa ",Information Technology & Services
Technical Safety BC,5,Bengaluru ,Education Management
Quake Capital Partners,26,"Colorado Springs, CO ",Higher Education
National Institute of Securities Markets,310,"Vancouver, BC ",Public Safety
1C Company,26,"New York, NY ",Venture Capital & Private Equity
Octal IT Solution (CMMI Level 3 Appraised),107,"Vashi, Navi Mumbai, Maharashtra ","Vashi, Navi Mumbai, Maharashtra"
The Futurist Institute,492,"Moscow, RU ",Information Technology & Services
Association of Finance & Insurance Professionals,269,"Jaipur, Rajasthan ",Information Technology & Services
Investment Educational Cohort,3,"Austin, TX ",Education Management
Institute for Divorce Financial Analysts™,8,"Colleyville, TX ",Automotive
iCEV,,,Financial Services
Adventis,123,"Greater Central Penn Area, PA ",Investment Management
Institute of Financial Operations & Leadership (IFOL),11,"Durham, North Carolina ",Financial Services
Virginia Tech Department of Finance,98,Lubbock ,E-learning
Board of Elections - City of New York,57,"Chicago , Illinois ",Financial Services
AJA Europe Group,6,"Orlando, Florida ",Professional Training & Coaching
Illinois Association of School Business Officials,7,"Blacksburg, Virginia ","Blacksburg, Virginia"
"Humphreys & Associates, Inc.",350,"New York, NY ",Government Administration
HFMA Tennessee Chapter,12,"Portishead, England ",Management Consulting
AFOA Canada,18,"Dekalb, IL ",Education Management
Working In Support of Education (W!se),70,"Irvine, CA ",Defense & Space
Eosis,2,"Nashville, TN ",Hospital & Health Care
International Institute of Professional Education and Research (IIPER),23,"Ottawa, Ontario ",Professional Training & Coaching
Lee Arnold System of Real Estate Investing,28,"New York, NY ",Education Management
ACGI Software,15,"Guadalajara, Jalisco ",Architecture & Planning
GreenFig,4,"Hull, England ","Hull, England"
Demand Driven Latin America,12,"Couer d'Alene, ID ",Real Estate
TEAMTRI,40,"Columbia, Maryland ",Computer Software
Kennell and Associates Inc.,25,"San Mateo, CA ","San Mateo, CA"
LearnSAP LLC,1,"Miami, Florida ",Think Tanks
Iowa Employment Conference,64,"Owasso, OK ",Management Consulting
Institute of Fraud and Risk Management,20,"Falls Church, VA ",Hospital & Health Care
D Vivid Consultant,8,"Pearland, TX ",Education Management
RISC // Your Compliance Partner,1,"Polk City, Iowa ",Education Management
EDG2,4,,Research
Sanigest Internacional,9,"AHMEDABAD, GUJARAT ",Education Management
Boston Institute of Finance,19,"Tampa, Florida ",Financial Services
Financial Statistics and Risk Management Program,20,"Bethesda, MD ",Design
Collin College Continuing Education,20,"La Sabana, San Jose ",Management Consulting
Rotman Business Analytics Club (RBAC),17,"Waltham, MA ",Professional Training & Coaching
Institute of Business & Finance,1,"Piscataway, NJ ",Financial Services
3D Energy Ltd.,,,Higher Education
Financial Knowledge,"2,707","McKinney, TX ","McKinney, TX"
Luminary Learning Company,5,"Toronto, Ontario ",Higher Education
National Institute of Public Finance (NIPF),10,"San Diego, CA ",Higher Education
Collin College Continuing Education,7,"Sherwood Park, Alberta ",Renewables & Environment
"CGR Group, (MENA & MINDS)",11,"Cupertino, CA ",Financial Services
Centre de santé communautaire Hamilton/Niagara,2,"Vancouver, British Columbia ",Professional Training & Coaching
WIU Accounting and Finance Department,8,"Lexington, KY ",Higher Education
SDA - New York Chapter ,2,"Plano, Texas ","Plano, Texas"
Louisville Chapter of the Institute of Management Accountants(IMA),6,Laval ,Management Consulting
Master of Financial Planning and Analytics,56,"Welland, Ontario ",Individual & Family Services
ESAAC,,"Macomb, IL ",Higher Education
Top Shelf® Academy,4,"New York, NY ",Architecture & Planning
FACC-Finance and Accounting Career Club,,"Louisville, Kentucky ",Accounting
Financial Psychology Institute®,,"Orem, Utah ",Higher Education
Mountain State Educational Services Cooperative,8,"Karachi, Sindh ",Management Consulting
Intl Forum for Behavioral Finance and Economics,4,"Dallas, Texas ",E-learning
"Follow the Hummingbird Consulting, PBC",6,"Tempe, Arizona ",Accounting
Great Lakes AFP,2,"Nashville, Tennessee ",Professional Training & Coaching
American Academy of Thermology,42,"Dunbar, West Virginia ",Education Management
Benson School of Business at SWU,,"Kelseyville, CA ",E-learning
The TransSynergy Group,4,"New Orleans, Louisiana ",Professional Training & Coaching
Sharon deFonteny,13,Detroit ,Financial Services
BendPoly,2,"Greenville, SC ","Health, Wellness & Fitness"
Angel Change Management ,,"Central, SC ",Higher Education
Career Analysis Organization of America,12,"Irving, TX ",Marketing & Advertising
"GISTnet, Inc",,"Warminster, PA ",Accounting
HFTP Florida Gulf Coast Chapter,,"San Mateo, California ",Higher Education
Association of Financial Professionals Canada - Ottawa,2,"Seattle, Washington ",Hospital & Health Care
SourceCell,5,"South Bend, Indiana ",Education Management
Lynwood Community Adult School,9,"Manhattan Beach, CA ",E-learning
Chartered Realty Investor® Society,1,Naples ,Hospitality
"RPH Development, LLC",,,Banking
Visible Leaf,1,"Palo Alto, CA ",Computer Software
Image Recovery Centers®,14,"Lynwood, California ",Primary/Secondary Education
"Preferred Systems, Inc.",,"San Diego, California ",Real Estate
BitSpartan Security,5,"Fayetteville, Arkansas ",Real Estate
Next Gear CONNECT User Conference & Trade Show,1,"Rochester, New York ",Executive Office
IMASanDiego,5,"Lutherville, Maryland ",Hospital & Health Care
CFME,10,,Education Management
VAMBOA (Veterans and Military Business Owners Association),1,"Worcester, Massachusetts ",Information Technology & Services
SAGACITY LLC,,,Information Technology & Services
Certification Strategy,167,"Oxford, MS ",Information Technology & Services
Surgent Accounting & Financial Education,2,"San Diego, CA ",Accounting
Carnegie Mellon University - Tepper School of Business,3,"San Jose, California ",Professional Training & Coaching
National Entrepreneur Center,1,Los Angeles ,Individual & Family Services
Certified Management Accountant: CMA®,1,"Milwaukee, Midwest ",Information Technology & Services
BDO Canada,119,"Radnor Township, Pennsylvania ",Accounting
Chartered Professional Accountants of Canada (CPA Canada),14,"Orlando, Florida ",Management Consulting
Feliciano School of Business - Montclair State University,"4,256","Toronto, Ontario ",Financial Services
1C Company,18,"Denver, Colorado ",Staffing & Recruiting
Blind Institute of Technology,33,"Halifax, Nova Scotia ",Accounting
First Finance,159,"Nagpur, Maharashtra ",Information Technology & Services
Octal IT Solution (CMMI Level 3 Appraised),5,"Sicklerville, New Jersey ",Security & Investigations
The Futurist Institute,,"Beijing, Beijing ",Higher Education
Institute for Divorce Financial Analysts™,,"Victoria, British Columbia ",Accounting
CPA Atlantic School of Business,,"San Diego, CA ",Real Estate
Micropro Software Solutions Pvt. Ltd.,,"Chesterfield, VA ",Professional Training & Coaching
Virginia Tech Department of Finance,,"Colorado Springs , Colorado ",Information Services
Institute for Internal Controls,,"Doral, Florida ","Doral, Florida"
EasyTransfer,,"Flint, MI ",Higher Education
Office of the Auditor General of B.C.,29,"Arlington, VA ",Management Consulting
ASPM - San Diego,39,"Brooklyn, New York ","Brooklyn, New York"
National Association of Construction Auditors,4,"Sussex, DE ",Professional Training & Coaching
Pikes Peak Small Business Development Center,3,"Phoenix, AZ ",Hospitality
URBE University,1,"Montvale, NJ ",Accounting
University of Michigan-Flint Graduate Programs,44,"Washington, DC ",Non-profit Organization Management
IMN Solutions,6,"Greenville, SC ",Higher Education
Manhattan School of Computer Technology,14,"Victoria, British Columbia ",Environmental Services
Institute of Fraud and Risk Management,4,"New York, NY ",Accounting
"International Institute of Certified Forensic Accountants, Inc (USA)",3,"Chambly, Montreal QC ",Logistics & Supply Chain
Arizona Hotel & Lodging Association,8,"Tampa, Florida ",Professional Training & Coaching
Certified Financial Manager: CFM®,9,"Anaheim, CA ",Accounting
"Association Management Strategies, Inc.",10,"Langhorne, PA ",Cosmetics
Clemson University Master of Professional Accountancy,1,"Massachusetts , Massachusetts ",Hospital & Health Care
Synergy Enterprises,46,"Victorville, California ",Staffing & Recruiting
NAPA - National Association of Production Accountants,4,"Toronto, Ontario ",Higher Education
 Yamina-IMPEX INC,3,"New York, New York ","New York, New York"
Florida SBDC at USF,10,"Phoenix, Arizona ",Accounting
Adcon Business Solutions Inc.,1,"Omaha, Nebraska ",Financial Services
Skin Care and Makeup by Cindy,8,"Kingston, Ontario ",Higher Education
WIU Accounting and Finance Department,8,"New York, NY ",Human Resources
MAPAM (Massachusetts Association of Patient Account Management),1,"Dayton, Ohio ",Professional Training & Coaching
"ICR Staffing Services, Inc",9,"Denver, CO ",Civic & Social Organization
Ontario College of Management and Technology,,"Brooklyn, NY ",E-learning
Crypto Working Group,2,"Austin, TX ",Accounting
Louisville Chapter of the Institute of Management Accountants(IMA),17,St. Augustine ,Higher Education
Capital Review Group,7,"Toronto, ON ","Toronto, ON"
SDA - New York Chapter ,6,"Towson, Maryland ",Higher Education
Master of Financial Planning and Analytics,1,"Louisville, Kentucky ",Accounting
Financial Planning Association of Nebraska,7,"Montvale, New Jersey ",Education Management
Academy of Learning Career College - Kingston Campus,12,"Markham, Ontario ",Education Management
COED Group,3,"Pflugerville, Texas ",E-learning
Integrate to Impact,12,"Long Beach, California ",Professional Training & Coaching
Top Shelf® Academy,1,"Schaumburg, Illinois ",Accounting
FACC-Finance and Accounting Career Club,,,Financial Services
Denver Asset Building Coalition,10,"San Diego, CA ",Financial Services
uLeague,4,"Scottsdale, Arizona ",Real Estate
Association of Government Accountants - Austin Chapter,,"New York, NY ",Computer & Network Security
Benson School of Business at SWU,1,"Clarksville, TN ","Leisure, Travel & Tourism"
SAM Caribbean Ltd,3,"Tampa, Florida ",Accounting
The TransSynergy Group,1,"Yorktown, Virginia ",Accounting
Sharon deFonteny,,"Alexandria, Virginia ",Accounting
Business and Technical Training College,1,"Denver, CO ",Environmental Services
Towson University Continuing & Professional Studies,3,,Accounting
Lincoln Trail Regional Council Institute of Management Accountants (IMA),10,"Edmonton, Alberta ",Non-profit Organization Management
LasComp Institute of IT (LIIT),6,Moca ,Information Technology & Services
Evergreen College Markham,3,"Fleming Island, FL ",Real Estate
ICCS Academy,,"Washington, DC ",E-learning
Self Made Training Facility Long Beach,4,"Frederick, MD ",Accounting
Accsaglobal,3,"Brooklyn, NY ",Writing & Editing
AICTP Tax Planning Academy,,"Madison, Alabama ",Accounting
Steve Capes,,"Stone Mountain, Georgia ",Management Consulting
Fordham ISACA Student Group,1,"Philadelphia, Pa ",E-learning
Next Gear CONNECT User Conference & Trade Show,3,"Denver, CO ",Events Services
Wiesman Travel,,"COLORADO SPRINGS, CO ",Professional Training & Coaching
IMASanDiego,,"Charleston, WV ",Non-profit Organization Management
"Serenity Financial Services, LLC",,"Greenville, South Carolina ",Education Management
"SBIS, Inc. Accounting, Tax, and Financial Services",1,"Lancaster, PA ",Financial Services
AGA Virginia Peninsula,6,"Cincinnati, OH ",Management Consulting
Stella Sustainability,1,"Alameda, California ",Computer Software
Central Illinos Chapter of the Institute of Management Accountants,1,"Tucson, AZ ",Accounting
"ManageWise, Inc.",2,"San Francisco, California ",Financial Services
CollegeOne,,"Barrington, NH",Information Services
PMI Davis Realty,,"New Orleans, Louisiana ",Accounting