OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,GLOBALID,YR2016_PM,YR2017_PM,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
626,70,22nd St & Folsom St,,37.75572,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,275,275,365,-1,,-1,-1,POINT (-122.41399 37.755714),53,53,3,2,20
658,101,22nd St & Valencia St,,37.75531,"122° 25' 15.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.42099 37.755306),52,52,3,5,20
439,11,Polk St & Sutter St,,37.78776,"122° 25' 12.000"" W",158,181,209,203,258,336,432,432,446,263,,481,367,POINT (-122.41999 37.787754),50,50,4,3,21
645,89,Geneva Ave & Ocean Ave,,37.72296,"122° 27' 7.200"" W",-1,-1,-1,-1,-1,-1,64,64,85,0,,-1,-1,POINT (-122.45199 37.722954),95,95,10,8,24
672,115,Silver Ave & San Bruno Ave,,37.73245,"122° 24' 21.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.40599 37.732445),91,91,2,2,25
444,16,Valencia St & 17th St,,37.7633,"122° 25' 19.200"" W",441,541,690,606,771,1059,1285,1285,1219,952,,1169,1073,POINT (-122.42199 37.763294),37,37,3,5,20
567,1,Market St & 11th St,,37.7756,"122° 25' 8.400"" W",545,585,726,808,818,1396,-1,-1,-1,1173,,-1,-1,POINT (-122.41898 37.775597),21,21,5,10,36
613,57,Howard St & 8th St,,37.77623,"122° 24' 43.200"" W",-1,-1,-1,-1,-1,-1,591,591,493,-1,,-1,-1,POINT (-122.41199 37.776226),32,32,1,10,34
599,43,8th Ave & Clement St,,37.78284,"122° 28' 1.200"" W",-1,-1,-1,-1,-1,95,82,82,50,0,,-1,-1,POINT (-122.46699 37.782837),5,5,8,4,11
581,25,Alemany Blvd & Geneva Ave,,37.71789,"122° 26' 31.200"" W",9,28,28,29,25,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.441986 37.717884),80,80,9,1,28
594,38,Holloway Ave & 19th Ave,,37.72103,"122° 28' 30.000"" W",-1,-1,-1,-1,-1,99,61,61,54,0,,-1,-1,POINT (-122.47498 37.721024),41,41,10,8,41
582,26,Great Hwy & Sloat Blvd,,37.73541,"122° 30' 25.200"" W",50,-1,39,82,38,-1,35,35,62,-1,,-1,-1,POINT (-122.50699 37.735405),43,43,,8,16
609,53,Kearny St & Bush St,,37.79077,"122° 24' 14.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.403984 37.790764),19,19,6,3,8
571,5,2nd St & Townsend,,37.78062,"122° 23' 27.600"" W",101,107,140,133,129,233,413,413,485,199,,576,490,POINT (-122.39098 37.780617),31,31,1,10,8
667,110,Filbert St & Powell St,,37.80117,"122° 24' 39.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.41099 37.801167),106,106,6,3,23
577,21,7th Ave & Kirkham St,,37.76039,"122° 27' 50.400"" W",35,45,47,54,55,98,-1,-1,-1,77,,-1,-1,POINT (-122.46399 37.760384),109,109,7,8,14
603,47,Page St & Stanyan St,,37.7701,"122° 27' 14.400"" W",-1,-1,-1,-1,-1,138,108,108,166,0,,-1,-1,POINT (-122.45399 37.770096),9,9,7,11,12
650,93,Stevenson St & 7th St,,37.77998,"122° 24' 43.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.41199 37.779976),32,32,5,10,34
614,58,Oak St & Baker St,,37.7727,"122° 26' 27.600"" W",-1,-1,-1,-1,-1,-1,176,176,194,-1,,-1,-1,POINT (-122.44099 37.772694),24,24,7,11,12
635,79,Haight St & Divisadero St,,37.77126,"122° 26' 13.200"" W",-1,-1,-1,-1,-1,-1,72,72,75,-1,,-1,-1,POINT (-122.43699 37.771255),26,26,4,11,3
586,30,Marina Blvd & Cervantes Blvd,,37.80578,"122° 26' 31.200"" W",240,292,490,517,382,625,613,613,580,569,,522,460,POINT (-122.441986 37.805775),17,17,4,6,13
663,106,Pine St & Battery St,,37.79226,"122° 24' 0.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.39999 37.792255),108,108,6,3,8
641,85,Market St & Duboce Ave,,37.76963,"122° 25' 33.600"" W",-1,-1,-1,-1,-1,-1,870,870,870,-1,,-1,-1,POINT (-122.42599 37.769627),,,3,5,20
618,62,Sloat Blvd & 34th Ave,,37.73413,"122° 29' 27.600"" W",-1,-1,-1,-1,-1,-1,32,32,23,-1,,-1,-1,POINT (-122.49099 37.734123),40,40,10,7,35
646,90,North Point St & The Embarcadero,,37.80739,"122° 24' 25.200"" W",-1,-1,-1,-1,-1,-1,678,678,532,0,,-1,-1,POINT (-122.40699 37.807384),99,99,6,3,23
673,116,11th St & Division St,,37.76945,"122° 24' 39.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,-1,-1,POINT (-122.41099 37.769444),32,32,3,10,20
440,12,Polk St & McAllister St,,37.78027,"122° 25' 8.400"" W",223,266,295,309,311,497,680,680,668,0,,819,751,POINT (-122.41898 37.780266),21,21,4,10,36
631,75,Arguello Blvd & Fulton St,,37.77429,"122° 27' 28.800"" W",-1,-1,-1,-1,-1,-1,157,157,157,-1,,-1,-1,POINT (-122.457985 37.774284),9,9,8,4,12
445,17,23rd St & Potrero Ave,,37.75458,"122° 24' 21.600"" W",35,34,73,74,70,-1,155,155,106,-1,,-1,-1,POINT (-122.40599 37.754574),54,54,3,9,20
617,61,Howard St & The Embarcadero,,37.79233,"122° 23' 27.600"" W",-1,-1,-1,-1,-1,-1,808,808,493,-1,,-1,-1,POINT (-122.39098 37.792324),108,108,1,10,8
674,117,Jerrold Ave & Bayshore Blvd,,37.74739,"122° 24' 14.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.403984 37.747387),85,85,2,2,2
642,86,Church St & Duboce Ave,,37.76946,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,-1,843,843,772,0,,-1,-1,POINT (-122.428986 37.769455),28,28,7,5,9
659,102,36th Ave & Cabrillo St,,37.7739,"122° 29' 45.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.49599 37.773895),8,8,8,4,29
585,29,Arguello Blvd & Lake St/ Sacramento,,37.78692,"122° 27' 32.400"" W",136,165,175,233,112,-1,150,150,187,-1,,-1,-1,POINT (-122.458984 37.786915),10,10,8,6,31
595,39,Market St & Valencia St,,37.77255,"122° 25' 22.800"" W",-1,-1,-1,-1,-1,1274,1281,1281,1259,0,,-1,-1,POINT (-122.42299 37.772545),26,26,4,11,9
627,71,Hunters Point Blvd & Innes Ave,,37.73274,"122° 22' 37.200"" W",-1,-1,-1,-1,-1,-1,5,5,14,-1,,-1,-1,POINT (-122.37698 37.732735),76,76,2,9,1
578,10,Scott St & Fell St,,37.77427,"122° 26' 9.600"" W",37,74,95,113,32,168,240,240,108,133,,145,163,POINT (-122.43599 37.774265),26,26,4,11,9
590,34,Market St & 2nd St,,37.78924,"122° 24' 3.600"" W",-1,-1,-1,-1,-1,816,943,943,982,862,,-1,-1,POINT (-122.400986 37.789234),108,108,6,10,8
649,92,Howard St & 5th St,,37.78151,"122° 24' 18.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.40498 37.781506),32,32,1,10,34
622,66,Polk St & North Point St,,37.80529,"122° 25' 26.400"" W",-1,-1,-1,-1,-1,-1,265,265,268,-1,,-1,-1,POINT (-122.42399 37.805286),98,98,6,6,32
654,97,17th St & Church St,,37.76288,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.428986 37.762875),37,37,3,5,5
448,20,Portola Dr & Woodside Ave/ O'Shaughnessy,,37.74559,"122° 27' 7.200"" W",23,29,29,28,11,30,33,33,14,24,,68,62,POINT (-122.45199 37.745586),49,49,7,8,41
610,54,Cesar Chavez & Illinois St,,37.75031,"122° 23' 13.200"" W",-1,-1,-1,-1,-1,-1,107,107,105,-1,,-1,-1,POINT (-122.386986 37.750305),56,56,2,9,1
666,109,Folsom St & Cesar Chavez St,,37.74827,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.41399 37.748264),53,53,3,2,2
634,78,Geary Blvd & Park Presidio Blvd,,37.78072,"122° 28' 19.200"" W",-1,-1,-1,-1,-1,-1,4,4,38,0,,-1,-1,POINT (-122.471985 37.780716),5,5,8,4,11
653,96,Folsom St & 11th St,,37.77188,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.41399 37.771873),32,32,1,10,34
570,4,5th St & Townsend St,,37.77535,"122° 23' 49.200"" W",254,266,306,325,265,609,798,798,805,531,,800,763,POINT (-122.39699 37.775345),34,34,1,10,4
598,42,19th Ave & Lincoln Way,,37.76544,"122° 28' 37.200"" W",-1,-1,-1,-1,-1,66,15,15,23,0,,-1,-1,POINT (-122.47699 37.765434),109,109,10,7,14
630,74,34th Ave & Judah St,,37.76097,"122° 29' 34.800"" W",-1,-1,-1,-1,-1,-1,21,21,21,0,,-1,-1,POINT (-122.49299 37.760963),39,39,10,7,35
662,105,Baker St & Beach St,,37.80328,"122° 26' 49.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.44698 37.803276),17,17,4,6,13
441,13,5th/Cyril Magnin St & Market St,,37.784,"122° 24' 28.800"" W",1002,1068,1187,1407,1615,2110,1438,1438,1449,-1,,1471,1250,POINT (-122.40799 37.783997),32,32,5,10,34
589,33,Levon Hagop Nishkian Bridge,,37.74864,"122° 23' 13.200"" W",42,26,16,13,27,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.386986 37.748634),56,56,2,9,1
591,35,17th/Market St & Castro,,37.76264,"122° 26' 6.000"" W",-1,-1,-1,-1,-1,136,40,40,125,0,,-1,-1,POINT (-122.43499 37.762634),38,38,3,5,5
602,46,Mission St & Ocean Ave,,37.72389,"122° 26' 6.000"" W",-1,-1,-1,-1,-1,42,46,46,24,0,,-1,-1,POINT (-122.43499 37.723885),90,90,9,1,7
621,65,Potrero Ave & 16th St,,37.76577,"122° 24' 28.800"" W",-1,-1,-1,-1,-1,-1,166,166,176,-1,,-1,-1,POINT (-122.40799 37.765766),53,53,3,9,20
574,8,Broadway & The Embarcadero,,37.79918,"122° 23' 52.800"" W",393,369,594,554,498,745,663,663,679,0,,991,782,POINT (-122.39799 37.799175),77,77,6,3,8
579,23,Page St & Scott St,,37.77242,"122° 26' 9.600"" W",376,420,578,613,689,1240,1209,1209,1055,1053,,892,943,POINT (-122.43599 37.772415),26,26,4,11,3
601,45,Mission St & Cortland Ave,,37.74101,"122° 25' 22.800"" W",-1,-1,-1,-1,-1,117,60,60,55,0,,-1,-1,POINT (-122.42299 37.741005),83,83,9,2,2
616,60,Ortega St & 24th Ave,,37.75214,"122° 28' 55.200"" W",-1,-1,-1,-1,-1,-1,11,11,12,-1,,-1,-1,POINT (-122.48199 37.752136),39,39,10,7,35
677,118,"8th St & Division St
8th St & Division St
8th St &  Division St",,37.77007228,"122° 24' 13.689"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,POINT (-122.403786 37.77007),33,33,1,9,4
584,28,Transverse Dr & John F Kennedy Dr,,37.77049,"122° 28' 48.000"" W",300,186,270,410,191,-1,402,402,378,-1,,-1,-1,POINT (-122.47999 37.770485),9,9,8,4,12
628,72,Mission St & 24th St,,37.75226,"122° 25' 4.800"" W",-1,-1,-1,-1,-1,-1,116,116,115,-1,,-1,-1,POINT (-122.417984 37.752254),53,53,3,2,20
569,3,8th St & Townsend St,,37.77004,"122° 24' 14.400"" W",167,214,264,276,261,502,631,631,649,420,,746,790,POINT (-122.403984 37.770035),33,33,1,10,34
611,55,Market St & Octavia St,,37.77201,"122° 25' 22.800"" W",-1,-1,-1,-1,-1,-1,911,911,978,-1,,-1,-1,POINT (-122.42299 37.772003),32,32,1,10,20
606,50,19th Ave & Sloat Blvd,,37.73456,"122° 28' 30.000"" W",-1,-1,-1,-1,-1,61,11,11,12,0,,-1,-1,POINT (-122.47498 37.734554),62,62,10,8,41
643,87,Bayshore Blvd & Oakdale Ave,,37.74305,"122° 24' 18.000"" W",-1,-1,-1,-1,-1,-1,52,52,61,-1,,-1,-1,POINT (-122.40498 37.743046),85,85,2,9,1
670,113,Guerrero/Market St & Laguna St,,37.77075,"122° 25' 30.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.42499 37.770744),27,27,1,5,9
638,82,Van Ness Ave & Sutter St,,37.78753,"122° 25' 19.200"" W",-1,-1,-1,-1,-1,-1,80,80,91,-1,,-1,-1,POINT (-122.42199 37.787525),100,100,4,6,39
633,77,Geary Blvd & Steiner St,,37.78431,"122° 26' 6.000"" W",-1,-1,-1,-1,-1,-1,98,98,139,-1,,-1,-1,POINT (-122.43499 37.784306),103,103,4,11,15
446,18,Harrison St & Cesar Chavez,,37.7483,"122° 24' 43.200"" W",39,48,54,57,35,74,173,173,175,64,,183,141,POINT (-122.41199 37.748295),53,53,3,2,2
596,40,Folsom St & 2nd St,,37.78556,"122° 23' 49.200"" W",-1,-1,-1,-1,-1,241,266,266,982,0,,-1,-1,POINT (-122.39699 37.785557),32,32,1,10,8
655,98,Vermont St & 17th St,,37.76468,"122° 24' 14.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.403984 37.764675),54,54,1,9,26
660,103,Martin Luther King Jr Dr & Transverse Dr,,37.76596,"122° 28' 40.800"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.47799 37.765957),9,9,8,4,12
648,91,16th St & 4th St,,37.76684,"122° 23' 27.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.39098 37.766834),34,34,1,10,4
623,67,Paul Ave & Bayshore Blvd,,37.72361,"122° 24' 3.600"" W",-1,-1,-1,-1,-1,-1,21,21,16,0,,-1,-1,POINT (-122.400986 37.723606),91,91,2,2,25
665,108,Cervantes Blvd & Fillmore St,,37.80276,"122° 26' 13.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,-1,-1,POINT (-122.43699 37.802753),17,17,4,6,13
442,14,16th St & 7th St,,37.76654,"122° 23' 42.000"" W",67,122,144,202,133,222,243,243,218,191,,243,278,POINT (-122.39499 37.766537),34,34,1,9,4
637,81,Lombard St & Van Ness Ave,,37.80132,"122° 25' 26.400"" W",-1,-1,-1,-1,-1,-1,14,14,24,-1,,-1,-1,POINT (-122.42399 37.801315),107,107,4,6,32
592,36,7th Ave & Lincoln Way,,37.76603,"122° 27' 50.400"" W",-1,-1,-1,-1,-1,68,19,19,28,0,,-1,-1,POINT (-122.46399 37.766026),109,109,7,11,12
669,112,Gennessee St & Hearst Ave,,37.73066,"122° 27' 3.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.45099 37.730656),95,95,9,8,41
605,49,Paul Ave & San Bruno Ave,,37.72392,"122° 24' 7.200"" W",-1,-1,-1,-1,-1,14,,,-1,0,,-1,-1,POINT (-122.401985 37.723915),91,91,2,2,25
620,64,Polk St & Green St,,37.79783,"122° 25' 19.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.42199 37.797825),105,105,4,3,32
575,9,Broadway & Columbus Ave,,37.79789,"122° 24' 25.200"" W",95,80,94,63,96,165,107,107,188,138,,167,78,POINT (-122.40699 37.797886),106,106,6,3,6
652,95,8th Ave & Fulton St,,37.77338,"122° 27' 57.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,-1,-1,POINT (-122.46599 37.773376),9,9,8,4,12
607,51,Polk St & Grove St,,37.77848,"122° 25' 4.800"" W",-1,-1,-1,-1,-1,373,491,491,421,0,,-1,-1,POINT (-122.417984 37.778477),21,21,4,10,36
624,68,Polk St & Broadway,,37.79594,"122° 25' 19.200"" W",-1,-1,-1,-1,-1,-1,245,245,271,-1,,-1,-1,POINT (-122.42199 37.795937),105,105,4,3,32
573,7,The Embarcadero & Market St,,37.79532,"122° 23' 38.400"" W",84,55,350,171,280,-1,717,717,695,-1,,-1,-1,POINT (-122.39399 37.795315),108,108,6,3,8
588,32,Panhandle/Masonic Avenue & Fell Street,,37.77298,"122° 26' 45.600"" W",152,172,212,228,244,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.445984 37.772976),24,24,7,11,12
568,2,Howard St & 11th St,,37.77312,"122° 24' 57.600"" W",227,250,333,332,323,578,596,596,596,530,,745,872,POINT (-122.415985 37.773113),32,32,1,10,20
629,73,9th Ave & Irving St,,37.76404,"122° 27' 57.600"" W",-1,-1,-1,-1,-1,-1,145,145,177,-1,,-1,-1,POINT (-122.46599 37.764034),109,109,10,11,14
600,44,Golden Gate Bridge,,37.81827,"122° 28' 40.800"" W",-1,-1,-1,-1,-1,378,547,547,-1,400,,-1,-1,POINT (-122.47799 37.818264),,,,,
656,99,Valencia St & 18th St,,37.76171,"122° 25' 19.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.42199 37.761703),37,37,3,5,20
644,88,Haight St & Webster St,,37.77233,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,-1,44,44,57,-1,,-1,-1,POINT (-122.428986 37.772324),26,26,4,11,9
661,104,Leavenworth St & Turk St,,37.7828,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.41399 37.782795),20,20,5,10,36
597,41,Market St & Church/14th St,,37.76761,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,500,340,340,288,432,,-1,-1,POINT (-122.428986 37.767605),28,28,3,5,5
583,27,Winston Dr & Lake Merced Blvd,,37.727,"122° 29' 2.400"" W",29,44,47,57,42,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.483986 37.726994),43,43,10,8,16
612,56,Folsom St & 7th St,,37.77677,"122° 24' 28.800"" W",-1,-1,-1,-1,-1,-1,462,462,508,-1,,-1,-1,POINT (-122.40799 37.776764),32,32,1,10,34
671,114,Page St & Webster St,,37.77325,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.428986 37.773247),26,26,4,11,9
580,24,Masonic Ave & Golden Gate Ave,,37.77767,"122° 26' 49.200"" W",42,38,47,43,54,105,79,79,79,75,,93,53,POINT (-122.44698 37.777664),12,12,7,4,18
447,22,San Jose Ave & Randall St,,37.73986,"122° 25' 26.400"" W",202,-1,302,373,410,534,711,711,589,462,,705,657,POINT (-122.42399 37.739857),61,61,9,5,2
632,76,Divisadero St & McAllister St,,37.77779,"122° 26' 16.800"" W",-1,-1,-1,-1,-1,-1,263,263,213,-1,,-1,-1,POINT (-122.43799 37.777786),23,23,4,11,39
615,59,Howard St & Beale St,,37.78992,"122° 23' 38.400"" W",-1,-1,-1,-1,-1,-1,198,198,222,-1,,-1,-1,POINT (-122.39399 37.789913),108,108,1,10,8
639,83,California St & Spruce St,,37.7864,"122° 27' 10.800"" W",-1,-1,-1,-1,-1,-1,20,20,33,-1,,-1,-1,POINT (-122.45299 37.786396),11,11,8,6,31
593,37,Mission St & 16th St,,37.76505,"122° 25' 12.000"" W",-1,-1,-1,-1,-1,270,159,159,137,0,,-1,-1,POINT (-122.41999 37.765045),53,53,3,2,20
587,31,Folsom St & 14th St,,37.76854,"122° 24' 57.600"" W",1663,200,214,258,252,346,438,438,460,0,,-1,-1,POINT (-122.415985 37.768536),53,53,3,2,20
608,52,Bush St & Battery St,,37.79135,"122° 24' 0.000"" W",-1,-1,-1,-1,-1,-1,197,197,209,-1,,-1,-1,POINT (-122.39999 37.791344),108,108,6,3,8
576,19,SFMTA - Sutter Stockton Garage,,37.79007,"122° 24' 25.200"" W",28,72,97,70,74,-1,172,172,197,-1,,-1,-1,POINT (-122.40699 37.790066),19,19,6,3,8
664,107,Broadway & Sansome St,,37.79845,"122° 24' 7.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.401985 37.798447),106,106,6,3,8
443,15,Mariposa St/ Terry Francois & Illinois St,,37.76439,"122° 23' 16.800"" W",36,62,56,78,74,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.387985 37.764385),34,34,2,10,26
636,80,Haight St & Fillmore St,,37.77212,"122° 25' 48.000"" W",-1,-1,-1,-1,-1,-1,37,37,81,-1,,-1,-1,POINT (-122.429985 37.772114),26,26,4,11,9
651,94,Folsom St & 8th St,,37.77499,"122° 24' 36.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.40999 37.774986),32,32,1,10,34
604,48,University of California San Francisco Parnassus Campus,,37.76351,"122° 27' 28.800"" W",-1,-1,-1,-1,-1,16,20,20,21,0,,-1,-1,POINT (-122.457985 37.763504),110,110,7,11,14
572,6,The Embarcadero & Townsend St,,37.7818,"122° 23' 16.800"" W",195,259,319,315,366,651,666,666,653,615,,731,799,POINT (-122.387985 37.781796),31,31,1,10,4
625,69,Folsom St & Fremont St,,37.788,"122° 23' 38.400"" W",-1,-1,-1,-1,-1,-1,104,104,127,-1,,-1,-1,POINT (-122.39399 37.787994),32,32,1,10,8
619,63,48th Ave & Point Lobos Ave,,37.77986,"122° 30' 32.400"" W",-1,-1,-1,-1,-1,-1,44,44,20,-1,,-1,-1,POINT (-122.50899 37.779854),6,6,8,4,29
647,91,17th & Mississippi,,37.76524,"122° 23' 42.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,239,POINT (-122.39499 37.765236),54,54,1,9,26
668,111,Font Blvd & Lake Merced Blvd,,37.72416,"122° 29' 6.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.484985 37.724155),42,42,10,8,16
640,84,Moscow St & Geneva Ave,,37.71313,"122° 26' 2.400"" W",-1,-1,-1,-1,-1,-1,19,19,53,-1,,-1,-1,POINT (-122.43399 37.713123),58,58,9,1,7
657,100,20th Ave & Kirkham St,,37.75979,"122° 28' 40.800"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,-1,-1,POINT (-122.47799 37.759785),39,39,10,7,35
