Song Name,Artist,Rank in USTop20 Chart
The Cowboy In Me (Yellowstone Edition),Tim McGraw,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,2
Big Energy,Latto,3
Super Gremlin,Kodak Black,4
Pope Is A Rockstar,SALES,5
Scorpio,Moneybagg Yo,6
Shivers,Ed Sheeran,7
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",8
abcdefu,GAYLE,9
Need To Know,Doja Cat,10
Heat Waves,Glass Animals,11
Easy On Me,Adele,12
Better Days,"NEIKED, Mae Muller & Polo G",13
Pepas,Farruko,14
Oh My God,Adele,15
One Right Now,Post Malone & The Weeknd,16
INDUSTRY BABY,Lil Nas X & Jack Harlow,17
Happier Than Ever,Billie Eilish,18
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,19
Beggin,M̴neskin,20
