Song Name,Artist,Rank in USTop20 Chart,New York City,Los Angeles,Chicago,Houston,Atlanta,Dallas,Miami,Phoenix,Riverside,"Washington, D.C.",Philadelphia,Boston,Anaheim,Denver,Las Vegas,San Diego,Detroit,Seattle,San Antonio,Orlando,Importance Score,Number of Cities Song Broke Top20,Broke USTop20 Charts
323 Go Crazy,DOM KENNEDY,,,,,,,,,,,16.0,,,,,,,,,,,20.75,2,False
Ameno Amapiano (Remix),Goya Menor & Nektunez,,7.0,,,,17.0,,,,,11.0,,,,,,,,,,,19.6,4,False
Beautiful Lies,Yung Bleu & Kehlani,,,,,14.0,16.0,,,,,,,,,,11.0,,14.0,,,,19.55,5,False
Beggin,Måneskin,20.0,16.0,,17.0,10.0,,,,19.0,,,,18.0,16.0,11.0,,14.0,,14.0,16.0,,18.05,11,True
Better Days,"NEIKED, Mae Muller & Polo G",13.0,,12.0,13.0,,,15.0,11.0,9.0,20.0,,15.0,9.0,8.0,16.0,10.0,9.0,9.0,8.0,,19.0,14.4,16,True
Big Energy,Latto,3.0,10.0,1.0,,12.0,10.0,6.0,17.0,4.0,1.0,5.0,11.0,3.0,1.0,6.0,2.0,2.0,4.0,9.0,4.0,,7.5,19,True
Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",,,8.0,,,,,,,8.0,,,,13.0,4.0,3.0,10.0,,,,,17.0,7,False
Bubbly (with Drake & Travis Scott),Young Thug,,,,,19.0,7.0,9.0,,,,,,,,,,,,,,,19.6,4,False
Chosen,Blxst & Tyga Feat. Ty Dolla $ign,,3.0,,,,18.0,,,,12.0,,10.0,11.0,,,,17.0,,,,,18.25,7,False
Cold Heart (PNAU Remix),Elton John & Dua Lipa,2.0,2.0,2.0,2.0,5.0,15.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.8,21,True
Countless Times,Marzz,,,,,,,,,,,20.0,,,,,,,,,,,20.95,2,False
Do It to It,Acraze Feat. Cherish,,11.0,9.0,16.0,,,,4.0,,9.0,,,,6.0,,20.0,8.0,,,,6.0,16.0,10,False
Easy On Me,Adele,12.0,17.0,,15.0,18.0,,13.0,6.0,,,13.0,17.0,19.0,,18.0,,,12.0,15.0,,7.0,16.9,13,True
El Incomprendido,"Farruko, Victor Cardenas & Dj Adoni",,,,,,,,7.0,,,,,,,,,,,,,,20.3,2,False
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,,12.0,,10.0,20.0,12.0,,15.0,,,15.0,12.0,16.0,,,,,,,,13.0,17.8,10,False
For Tonight,GIVĒON,18.0,,,,,11.0,18.0,16.0,,,,,,,20.0,14.0,,8.0,,,8.0,18.4,8,True
Forever Tippin,"Yung Pooda, DJ Chose & Dre",,,,,13.0,,,,,,,,,,,,,,,,,20.6,2,False
Ghost,Justin Bieber,,,,,,,,,,,,,,,,,,,18.0,,,20.85,2,False
Gyalis,Capella Grey,,18.0,,,,,,,,,,,,,,,,,,,,20.85,2,False
Happier Than Ever,Billie Eilish,16.0,,10.0,8.0,,,,20.0,14.0,17.0,,5.0,13.0,7.0,8.0,,7.0,,16.0,20.0,20.0,15.6,14,True
Have Mercy,Chlöe,,,13.0,,11.0,,16.0,,,14.0,,,,14.0,,12.0,18.0,20.0,20.0,10.0,,17.9,11,False
Heat Waves,Glass Animals,10.0,,11.0,18.0,8.0,,8.0,9.0,12.0,10.0,17.0,,10.0,11.0,15.0,9.0,12.0,11.0,4.0,12.0,11.0,12.55,18,True
Hello It's Me,Todd Rundgren,,,19.0,,,,,,,,,,,,,,11.0,,,,,20.4,3,False
Hurricane,Kanye West,,,6.0,,,,,,,13.0,,,,15.0,,,,,,,,19.55,4,False
I Hate U,SZA,,4.0,,,,19.0,,,,,,4.0,,,,,,,,,,19.2,4,False
I'll Think About You,We Are Messengers,,,,,,,,,,,,,,,,,,,,13.0,,20.6,2,False
INDUSTRY BABY,Lil Nas X & Jack Harlow,19.0,,,,,,11.0,,15.0,16.0,,,8.0,,13.0,,,17.0,10.0,9.0,,17.55,9,True
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,,,15.0,,6.0,14.0,10.0,,7.0,19.0,,18.0,,20.0,17.0,6.0,,,,7.0,,16.4,12,False
Love Nwantiti (Ah Ah Ah),CKay,,13.0,14.0,,,,,10.0,,11.0,,,15.0,18.0,,,,,,,,18.75,7,False
Me or Sum,Nardo Wick Feat. Future & Lil Baby,,,,,,6.0,,,,,,,,,,,,,,,,20.25,2,False
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",,,,,,,,,18.0,,,,,,,,,,17.0,,,20.65,3,False
Need To Know,Doja Cat,11.0,5.0,7.0,19.0,17.0,,19.0,13.0,10.0,7.0,,13.0,,12.0,19.0,,13.0,19.0,12.0,11.0,15.0,14.75,17,True
Oh My God,Adele,14.0,,4.0,14.0,,,,,6.0,6.0,,,17.0,5.0,12.0,16.0,6.0,18.0,7.0,,,15.0,12,True
One Right Now,Post Malone & The Weeknd,17.0,,,,,,,19.0,11.0,15.0,,,5.0,17.0,10.0,7.0,20.0,15.0,11.0,17.0,,16.8,12,True
Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,,,,5.0,,,,,,,1.0,,,,,,,,,,,19.2,3,False
Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,,19.0,,,,,,,,,19.0,,,,,,,,,,18.0,20.65,4,False
Pepas,Farruko,15.0,6.0,3.0,,7.0,,14.0,3.0,3.0,5.0,,,7.0,4.0,,8.0,5.0,,,3.0,2.0,10.85,14,True
Poke It Out,Wale Feat. Cool & Dre & J. Cole,,,16.0,,,,,,,18.0,,20.0,,,,17.0,,,,,,20.35,5,False
Pope Is A Rockstar,SALES,7.0,,5.0,11.0,4.0,20.0,7.0,,5.0,4.0,10.0,14.0,12.0,10.0,3.0,15.0,4.0,13.0,3.0,5.0,12.0,9.95,19,True
Pressure,Ari Lennox,,,,7.0,15.0,4.0,,,,,6.0,16.0,,,,,,10.0,,,,17.6,7,False
Scorpio,Moneybagg Yo,6.0,,,6.0,2.0,3.0,5.0,,,,4.0,9.0,,,,13.0,,5.0,,8.0,16.0,14.05,11,True
Shivers,Ed Sheeran,5.0,14.0,,20.0,,,20.0,5.0,8.0,,,19.0,6.0,19.0,5.0,5.0,15.0,6.0,6.0,15.0,4.0,13.6,16,True
Si Te Pudiera Mentir,Calibre 50,,,,,16.0,,,,,,,,,,,,,,,,,20.75,2,False
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",9.0,8.0,,12.0,9.0,9.0,12.0,14.0,17.0,,8.0,7.0,20.0,,,18.0,,16.0,19.0,14.0,14.0,15.1,16,True
Somethin About Ya (Acoustic),J.Howell,,,,,,,,,,,14.0,,,,,,,,,,,20.65,2,False
Stay,The Kid LAROI & Justin Bieber,,,,,,,,,,,,,,,14.0,,,,,19.0,,20.55,3,False
Super Gremlin,Kodak Black,4.0,,,4.0,3.0,2.0,4.0,8.0,20.0,,9.0,6.0,4.0,,9.0,,,3.0,5.0,6.0,3.0,10.6,15,True
The Cowboy In Me (Yellowstone Edition),Tim McGraw,1.0,,18.0,3.0,1.0,5.0,1.0,,2.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,5.05,19,True
"Volver, Volver",Vicente Fernández,,,20.0,,,,,,,,,,,,,,,,,,,20.95,2,False
We Set The Trends,Jim Jones & Migos,,9.0,,,,,,,,,,,,,,,,,,,,20.4,2,False
You Problem,MONSTA X,,,,1.0,,1.0,2.0,1.0,,,7.0,,,,,,,,,,5.0,15.55,7,False
You Right,Doja Cat & The Weeknd,,,,,,,,,,,,,,,,,19.0,,,,,20.9,2,False
Your Turn,"Ty Dolla $ign Feat. Musiq Soulchild, Tish Hyman & 6LACK",,,,,,13.0,,,,,12.0,,,,,,,,,,,20.15,3,False
abcdefu,GAYLE,8.0,15.0,17.0,9.0,,,17.0,,16.0,,18.0,3.0,14.0,9.0,7.0,,16.0,7.0,13.0,18.0,17.0,15.05,16,True
edamame,bbno$ Feat. Rich Brian,,,,,,,,,,,,,,,,19.0,,,,,,20.9,2,False
love nwantiti (North African Remix),CKay Feat. ElGrande Toto,,20.0,,,,,,18.0,,,,,,,,,,,,,,20.8,3,False
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,,1.0,,,,8.0,,12.0,13.0,,,8.0,,,,,,,,,9.0,17.25,7,False
